"NutsID","level_ID","region_name","year","temporary_crop_ID","tc_name_id","tc_name","tc_area","permanent_crop_ID","pc_name_id","pc_name","pc_area","labour_value","type_labour_ID","tl_name"
"11",2,Norte,2019,92,1,Total,151107,36,1,Total,255954,119432,1,Total labour force in agriculture
"11",2,Norte,2019,96,2,Cereals,38251,36,1,Total,255954,119432,1,Total labour force in agriculture
"11",2,Norte,2019,100,3,Dried pulses,1913,36,1,Total,255954,119432,1,Total labour force in agriculture
"11",2,Norte,2019,104,4,Temporary grasses and grazings,6841,36,1,Total,255954,119432,1,Total labour force in agriculture
"11",2,Norte,2019,108,5,Fodder plants,96034,36,1,Total,255954,119432,1,Total labour force in agriculture
"11",2,Norte,2019,112,6,Potatoes,3789,36,1,Total,255954,119432,1,Total labour force in agriculture
"11",2,Norte,2019,116,7,Sugarbeets,0,36,1,Total,255954,119432,1,Total labour force in agriculture
"11",2,Norte,2019,120,8,Industrial crops,164,36,1,Total,255954,119432,1,Total labour force in agriculture
"11",2,Norte,2019,124,9,Fresh vegetables,3634,36,1,Total,255954,119432,1,Total labour force in agriculture
"11",2,Norte,2019,128,10,Flowers and ornamental plants,368,36,1,Total,255954,119432,1,Total labour force in agriculture
"11",2,Norte,2019,132,11,Other temporary crops,113,36,1,Total,255954,119432,1,Total labour force in agriculture
"11",2,Norte,2019,92,1,Total,151107,40,2,Fresh fruit plantations (excluding citrus plantations),13815,119432,1,Total labour force in agriculture
"11",2,Norte,2019,96,2,Cereals,38251,40,2,Fresh fruit plantations (excluding citrus plantations),13815,119432,1,Total labour force in agriculture
"11",2,Norte,2019,100,3,Dried pulses,1913,40,2,Fresh fruit plantations (excluding citrus plantations),13815,119432,1,Total labour force in agriculture
"11",2,Norte,2019,104,4,Temporary grasses and grazings,6841,40,2,Fresh fruit plantations (excluding citrus plantations),13815,119432,1,Total labour force in agriculture
"11",2,Norte,2019,108,5,Fodder plants,96034,40,2,Fresh fruit plantations (excluding citrus plantations),13815,119432,1,Total labour force in agriculture
"11",2,Norte,2019,112,6,Potatoes,3789,40,2,Fresh fruit plantations (excluding citrus plantations),13815,119432,1,Total labour force in agriculture
"11",2,Norte,2019,116,7,Sugarbeets,0,40,2,Fresh fruit plantations (excluding citrus plantations),13815,119432,1,Total labour force in agriculture
"11",2,Norte,2019,120,8,Industrial crops,164,40,2,Fresh fruit plantations (excluding citrus plantations),13815,119432,1,Total labour force in agriculture
"11",2,Norte,2019,124,9,Fresh vegetables,3634,40,2,Fresh fruit plantations (excluding citrus plantations),13815,119432,1,Total labour force in agriculture
"11",2,Norte,2019,128,10,Flowers and ornamental plants,368,40,2,Fresh fruit plantations (excluding citrus plantations),13815,119432,1,Total labour force in agriculture
"11",2,Norte,2019,132,11,Other temporary crops,113,40,2,Fresh fruit plantations (excluding citrus plantations),13815,119432,1,Total labour force in agriculture
"11",2,Norte,2019,92,1,Total,151107,44,3,Citrus plantations,1257,119432,1,Total labour force in agriculture
"11",2,Norte,2019,96,2,Cereals,38251,44,3,Citrus plantations,1257,119432,1,Total labour force in agriculture
"11",2,Norte,2019,100,3,Dried pulses,1913,44,3,Citrus plantations,1257,119432,1,Total labour force in agriculture
"11",2,Norte,2019,104,4,Temporary grasses and grazings,6841,44,3,Citrus plantations,1257,119432,1,Total labour force in agriculture
"11",2,Norte,2019,108,5,Fodder plants,96034,44,3,Citrus plantations,1257,119432,1,Total labour force in agriculture
"11",2,Norte,2019,112,6,Potatoes,3789,44,3,Citrus plantations,1257,119432,1,Total labour force in agriculture
"11",2,Norte,2019,116,7,Sugarbeets,0,44,3,Citrus plantations,1257,119432,1,Total labour force in agriculture
"11",2,Norte,2019,120,8,Industrial crops,164,44,3,Citrus plantations,1257,119432,1,Total labour force in agriculture
"11",2,Norte,2019,124,9,Fresh vegetables,3634,44,3,Citrus plantations,1257,119432,1,Total labour force in agriculture
"11",2,Norte,2019,128,10,Flowers and ornamental plants,368,44,3,Citrus plantations,1257,119432,1,Total labour force in agriculture
"11",2,Norte,2019,132,11,Other temporary crops,113,44,3,Citrus plantations,1257,119432,1,Total labour force in agriculture
"11",2,Norte,2019,92,1,Total,151107,48,4,Fruit plantations (subtropical climate zones),2619,119432,1,Total labour force in agriculture
"11",2,Norte,2019,96,2,Cereals,38251,48,4,Fruit plantations (subtropical climate zones),2619,119432,1,Total labour force in agriculture
"11",2,Norte,2019,100,3,Dried pulses,1913,48,4,Fruit plantations (subtropical climate zones),2619,119432,1,Total labour force in agriculture
"11",2,Norte,2019,104,4,Temporary grasses and grazings,6841,48,4,Fruit plantations (subtropical climate zones),2619,119432,1,Total labour force in agriculture
"11",2,Norte,2019,108,5,Fodder plants,96034,48,4,Fruit plantations (subtropical climate zones),2619,119432,1,Total labour force in agriculture
"11",2,Norte,2019,112,6,Potatoes,3789,48,4,Fruit plantations (subtropical climate zones),2619,119432,1,Total labour force in agriculture
"11",2,Norte,2019,116,7,Sugarbeets,0,48,4,Fruit plantations (subtropical climate zones),2619,119432,1,Total labour force in agriculture
"11",2,Norte,2019,120,8,Industrial crops,164,48,4,Fruit plantations (subtropical climate zones),2619,119432,1,Total labour force in agriculture
"11",2,Norte,2019,124,9,Fresh vegetables,3634,48,4,Fruit plantations (subtropical climate zones),2619,119432,1,Total labour force in agriculture
"11",2,Norte,2019,128,10,Flowers and ornamental plants,368,48,4,Fruit plantations (subtropical climate zones),2619,119432,1,Total labour force in agriculture
"11",2,Norte,2019,132,11,Other temporary crops,113,48,4,Fruit plantations (subtropical climate zones),2619,119432,1,Total labour force in agriculture
"11",2,Norte,2019,92,1,Total,151107,52,5,Nuts plantations,73849,119432,1,Total labour force in agriculture
"11",2,Norte,2019,96,2,Cereals,38251,52,5,Nuts plantations,73849,119432,1,Total labour force in agriculture
"11",2,Norte,2019,100,3,Dried pulses,1913,52,5,Nuts plantations,73849,119432,1,Total labour force in agriculture
"11",2,Norte,2019,104,4,Temporary grasses and grazings,6841,52,5,Nuts plantations,73849,119432,1,Total labour force in agriculture
"11",2,Norte,2019,108,5,Fodder plants,96034,52,5,Nuts plantations,73849,119432,1,Total labour force in agriculture
"11",2,Norte,2019,112,6,Potatoes,3789,52,5,Nuts plantations,73849,119432,1,Total labour force in agriculture
"11",2,Norte,2019,116,7,Sugarbeets,0,52,5,Nuts plantations,73849,119432,1,Total labour force in agriculture
"11",2,Norte,2019,120,8,Industrial crops,164,52,5,Nuts plantations,73849,119432,1,Total labour force in agriculture
"11",2,Norte,2019,124,9,Fresh vegetables,3634,52,5,Nuts plantations,73849,119432,1,Total labour force in agriculture
"11",2,Norte,2019,128,10,Flowers and ornamental plants,368,52,5,Nuts plantations,73849,119432,1,Total labour force in agriculture
"11",2,Norte,2019,132,11,Other temporary crops,113,52,5,Nuts plantations,73849,119432,1,Total labour force in agriculture
"11",2,Norte,2019,92,1,Total,151107,56,6,Olive plantations,82777,119432,1,Total labour force in agriculture
"11",2,Norte,2019,96,2,Cereals,38251,56,6,Olive plantations,82777,119432,1,Total labour force in agriculture
"11",2,Norte,2019,100,3,Dried pulses,1913,56,6,Olive plantations,82777,119432,1,Total labour force in agriculture
"11",2,Norte,2019,104,4,Temporary grasses and grazings,6841,56,6,Olive plantations,82777,119432,1,Total labour force in agriculture
"11",2,Norte,2019,108,5,Fodder plants,96034,56,6,Olive plantations,82777,119432,1,Total labour force in agriculture
"11",2,Norte,2019,112,6,Potatoes,3789,56,6,Olive plantations,82777,119432,1,Total labour force in agriculture
"11",2,Norte,2019,116,7,Sugarbeets,0,56,6,Olive plantations,82777,119432,1,Total labour force in agriculture
"11",2,Norte,2019,120,8,Industrial crops,164,56,6,Olive plantations,82777,119432,1,Total labour force in agriculture
"11",2,Norte,2019,124,9,Fresh vegetables,3634,56,6,Olive plantations,82777,119432,1,Total labour force in agriculture
"11",2,Norte,2019,128,10,Flowers and ornamental plants,368,56,6,Olive plantations,82777,119432,1,Total labour force in agriculture
"11",2,Norte,2019,132,11,Other temporary crops,113,56,6,Olive plantations,82777,119432,1,Total labour force in agriculture
"11",2,Norte,2019,92,1,Total,151107,60,7,Vineyards,81411,119432,1,Total labour force in agriculture
"11",2,Norte,2019,96,2,Cereals,38251,60,7,Vineyards,81411,119432,1,Total labour force in agriculture
"11",2,Norte,2019,100,3,Dried pulses,1913,60,7,Vineyards,81411,119432,1,Total labour force in agriculture
"11",2,Norte,2019,104,4,Temporary grasses and grazings,6841,60,7,Vineyards,81411,119432,1,Total labour force in agriculture
"11",2,Norte,2019,108,5,Fodder plants,96034,60,7,Vineyards,81411,119432,1,Total labour force in agriculture
"11",2,Norte,2019,112,6,Potatoes,3789,60,7,Vineyards,81411,119432,1,Total labour force in agriculture
"11",2,Norte,2019,116,7,Sugarbeets,0,60,7,Vineyards,81411,119432,1,Total labour force in agriculture
"11",2,Norte,2019,120,8,Industrial crops,164,60,7,Vineyards,81411,119432,1,Total labour force in agriculture
"11",2,Norte,2019,124,9,Fresh vegetables,3634,60,7,Vineyards,81411,119432,1,Total labour force in agriculture
"11",2,Norte,2019,128,10,Flowers and ornamental plants,368,60,7,Vineyards,81411,119432,1,Total labour force in agriculture
"11",2,Norte,2019,132,11,Other temporary crops,113,60,7,Vineyards,81411,119432,1,Total labour force in agriculture
"11",2,Norte,2019,92,1,Total,151107,64,8,Other permanent crops,226,119432,1,Total labour force in agriculture
"11",2,Norte,2019,96,2,Cereals,38251,64,8,Other permanent crops,226,119432,1,Total labour force in agriculture
"11",2,Norte,2019,100,3,Dried pulses,1913,64,8,Other permanent crops,226,119432,1,Total labour force in agriculture
"11",2,Norte,2019,104,4,Temporary grasses and grazings,6841,64,8,Other permanent crops,226,119432,1,Total labour force in agriculture
"11",2,Norte,2019,108,5,Fodder plants,96034,64,8,Other permanent crops,226,119432,1,Total labour force in agriculture
"11",2,Norte,2019,112,6,Potatoes,3789,64,8,Other permanent crops,226,119432,1,Total labour force in agriculture
"11",2,Norte,2019,116,7,Sugarbeets,0,64,8,Other permanent crops,226,119432,1,Total labour force in agriculture
"11",2,Norte,2019,120,8,Industrial crops,164,64,8,Other permanent crops,226,119432,1,Total labour force in agriculture
"11",2,Norte,2019,124,9,Fresh vegetables,3634,64,8,Other permanent crops,226,119432,1,Total labour force in agriculture
"11",2,Norte,2019,128,10,Flowers and ornamental plants,368,64,8,Other permanent crops,226,119432,1,Total labour force in agriculture
"11",2,Norte,2019,132,11,Other temporary crops,113,64,8,Other permanent crops,226,119432,1,Total labour force in agriculture
"15",2,Algarve,2019,136624,1,Total,12120,48708,1,Total,56754,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136628,2,Cereals,2596,48708,1,Total,56754,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136632,3,Dried pulses,106,48708,1,Total,56754,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136636,4,Temporary grasses and grazings,1659,48708,1,Total,56754,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136640,5,Fodder plants,6158,48708,1,Total,56754,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136644,6,Potatoes,83,48708,1,Total,56754,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136648,7,Sugarbeets,0,48708,1,Total,56754,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136652,8,Industrial crops,148,48708,1,Total,56754,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136656,9,Fresh vegetables,915,48708,1,Total,56754,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136660,10,Flowers and ornamental plants,276,48708,1,Total,56754,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136664,11,Other temporary crops,178,48708,1,Total,56754,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136624,1,Total,12120,48712,2,Fresh fruit plantations (excluding citrus plantations),3744,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136628,2,Cereals,2596,48712,2,Fresh fruit plantations (excluding citrus plantations),3744,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136632,3,Dried pulses,106,48712,2,Fresh fruit plantations (excluding citrus plantations),3744,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136636,4,Temporary grasses and grazings,1659,48712,2,Fresh fruit plantations (excluding citrus plantations),3744,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136640,5,Fodder plants,6158,48712,2,Fresh fruit plantations (excluding citrus plantations),3744,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136644,6,Potatoes,83,48712,2,Fresh fruit plantations (excluding citrus plantations),3744,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136648,7,Sugarbeets,0,48712,2,Fresh fruit plantations (excluding citrus plantations),3744,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136652,8,Industrial crops,148,48712,2,Fresh fruit plantations (excluding citrus plantations),3744,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136656,9,Fresh vegetables,915,48712,2,Fresh fruit plantations (excluding citrus plantations),3744,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136660,10,Flowers and ornamental plants,276,48712,2,Fresh fruit plantations (excluding citrus plantations),3744,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136664,11,Other temporary crops,178,48712,2,Fresh fruit plantations (excluding citrus plantations),3744,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136624,1,Total,12120,48716,3,Citrus plantations,13951,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136628,2,Cereals,2596,48716,3,Citrus plantations,13951,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136632,3,Dried pulses,106,48716,3,Citrus plantations,13951,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136636,4,Temporary grasses and grazings,1659,48716,3,Citrus plantations,13951,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136640,5,Fodder plants,6158,48716,3,Citrus plantations,13951,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136644,6,Potatoes,83,48716,3,Citrus plantations,13951,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136648,7,Sugarbeets,0,48716,3,Citrus plantations,13951,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136652,8,Industrial crops,148,48716,3,Citrus plantations,13951,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136656,9,Fresh vegetables,915,48716,3,Citrus plantations,13951,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136660,10,Flowers and ornamental plants,276,48716,3,Citrus plantations,13951,13720,1,Total labour force in agriculture
"15",2,Algarve,2019,136664,11,Other temporary crops,178,48716,3,Citrus plantations,13951,13720,1,Total labour force in agriculture
